"","logID","fightID","encounterID","size","Class","timestamp","type","sourceID","abilityGameID","hitType","hitType2","amount","unmitigatedAmount","amount_full","resisted","overkill","buffs"
"101","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1633873,"damage",7,67760,16,"Normal",1871,2079,2079,208,NA,"16246.29178.48934.53817.60766.16280.59620."
"102","tDzK7FTJqW3LwAr4",5,645,10,"Enh Shaman",1644188,"damage",7,67760,1,"Normal",2120,2120,2120,NA,NA,"16246.32182.29178.48934.53817.60766.16280.59620."
"103","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",1907352,"damage",7,67760,1,"Normal",1983,1983,1983,NA,NA,"55637.54758.16246.64772.16280.29178.48934.53909."
"104","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",1915996,"damage",7,67760,1,"Normal",2272,2272,2272,NA,NA,"53817.55637.16246.60766.64772.29178.48934.59620."
"105","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",1928301,"damage",7,67760,16,"Normal",1981,2201,2201,220,NA,"53817.16246.60766.16280.29178.48934.59620."
"106","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",1937635,"damage",7,67760,1,"Normal",2211,2211,2211,NA,NA,"53817.60766.16280.29178.48934."
"107","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",1947833,"damage",7,67760,16,"Normal",2012,2236,2236,224,NA,"53817.16246.60766.16280.29178.48934.59620."
"108","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",1957042,"damage",7,67760,17,"Crit",2736,1968,2933,197,NA,"53817.16246.60766.64772.16280.29178.48934.59620."
"109","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",1964611,"damage",7,67760,16,"Normal",1574,1968,1968,394,NA,"53817.55637.16246.16280.29178.48934."
"110","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",1973347,"damage",7,67760,2,"Crit",3331,2156,3331,NA,NA,"53817.55637.54758.16246.16280.29178.48934."
"111","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",1987233,"damage",7,67760,1,"Normal",2242,2242,2242,NA,NA,"16246.60766.16280.29178.48934."
"112","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",2054627,"damage",7,67760,2,"Crit",3444,2229,3444,NA,NA,"53817.55637.54758.60766.16280.48934."
"113","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",2062153,"damage",7,67760,16,"Normal",1857,2064,2063,206,NA,"53817.55637.54758.53908.16246.64772.16280.29178.48934."
"114","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",2072725,"damage",7,67760,2,"Crit",3028,1960,3028,NA,NA,"53817.53908.16246.60766.16280.29178.48934.59620."
